"Symptom";"Run";"Rules";"Error Rate";"False Pos Rate";"False Neg Rate";
2;1;1;0.15384615384615385;0;1;
2;2;0;0.21428571428571427;0;1;
2;3;1;0.21428571428571427;0;1;
2;4;1;0.21428571428571427;0;1;
2;5;1;0.21428571428571427;0;1;
2;6;1;0.21428571428571427;0;1;
2;7;1;0.21428571428571427;0;1;
2;8;1;0.21428571428571427;0;1;
2;9;1;0.21428571428571427;0;1;
2;10;1;0.75;0.9;0;
"";"";"";"";
"Time (s)";"Positives";"Rules";"Total Error";"Total False Pos Rate";"Total False Neg Rate";
200;19;9;0.26181318681318677;0.09;0.9;
