"Symptom";"Run";"Rules";"TP Rate";"FP Rate";"Precision";"Recall";"F-Measure";
6;1;26;1;0;0;0;0;
6;2;26;1;0;1;1;1;
6;3;26;1;0;1;1;1;
6;4;18;0.8;0;1;0.8;0.888888888888889;
6;5;25;0.2;0;1;0.2;0.33333333333333337;
6;6;17;0.6;0.2727272727272727;0.5;0.6;0.5454545454545454;
6;7;25;0.8;0;1;0.8;0.888888888888889;
6;8;24;0.6;0;1;0.6;0.7499999999999999;
6;9;27;0.8;0.18181818181818182;0.6666666666666666;0.8;0.7272727272727272;
6;10;17;0.75;0.2;0.6;0.75;0.6666666666666665;
"";"";"";"";
"Time (s)";"Positives";"Rules";"TP Rate";"FP Rate";"Precision";"Recall";"F-Measure";
220;34;49;1;0.07;0.8292682926829268;1;0.9066666666666667;
